DESC_SEDE_FISICA;DESC_SC_SSD_SS;ordinari;dh;utic;ds;intensita;match_db_reparti
TERMOLI - PALAZZINA AMMINISTRATIVA;SC EMERGENZA TERRITORIALE E CENTRALE OPERATIVA 118 (CB);0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC GOVERNANCE DEL FARMACO;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC IGIENE DEGLI ALIMENTI E DELLA NUTRIZIONE;0;0;0;0;Media;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC IGIENE E SANITA' PUBBLICA;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC INTEGRAZIONE OSPEDALE-TERRITORIO E SOCIOSANITARIA;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC MEDICINA DI BASE, SPECIALISTICA, RIABILITATIVA E RESIDENZIALE (TE);0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC PREV.NE E SICUREZZA AMBIENTI DI LAVORO;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC PROGRAMMAZIONE CONTROLLO DI GESTIONE;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC TECNICO MANUTENTIVO;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC VETERINARIA - AREA A - SANITA' ANIMALE;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC VETERINARIA - AREA B - IGIENE DELLA PROD., TRASF., COMM., CONS. E TRASP. ALIMENTI ORIGINE ANIMALE E LORO DERIVATI;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SC VETERINARIA - AREA C - IGIENE ALLEVAMENTI E PRODUZIONI ZOOTECNICHE;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SS DIPENDENZE (TE);0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SS MATERNO INFANTILE (TE);0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SSD PREVENZIONE E PROTEZIONE - MEDICO COMPETENTE;0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SSD UO AMMINISTRATIVA (DIP. SALUTE MENTALE E DIPENDENZE);0;0;0;0;;
TERMOLI - PALAZZINA AMMINISTRATIVA;SSD UO AMMINISTRATIVA DS-TE;0;0;0;0;;
TERMOLI - SANTA CROCE DI MAGLIANO;SC DIREZIONE (TE);0;0;0;0;;
TERMOLI - SANTA CROCE DI MAGLIANO;SC EMERGENZA TERRITORIALE E CENTRALE OPERATIVA 118 (CB);0;0;0;0;;
TERMOLI - SANTA CROCE DI MAGLIANO;SC MEDICINA DI BASE, SPECIALISTICA, RIABILITATIVA E RESIDENZIALE (TE);0;0;0;0;;
OdC Venafro;OdC Venafro - U.D.I.;20;0;0;0;Bassa;OdC (CDC: OSP. COMUNITA.*VENAFRO.*U\.?D\.?I, personale: 14)
OdC Venafro;RSA Venafro;20;0;0;0;Bassa;OdC (CDC: DS IS.*RSA.*VENAFRO, personale: 11)
OdC Venafro;Riabilitazione ex Art.26 Venafro;0;0;0;0;Bassa;OdC (CDC: DS IS.*RIABILITAZIONE.*EX ART, personale: 4)
OdC Larino;OdC Larino - U.D.I.;20;0;0;0;Bassa;OdC (CDC: OSP. COMUNITA.*LARINO.*U\.?D\.?I, personale: 12)
OdC Larino;RSA Larino;20;0;0;0;Bassa;OdC (CDC: DS TE.*RSA.*LARINO, personale: 19)
OdC Larino;Hospice Larino;10;0;0;0;Bassa;OdC (CDC: DS TE.*HOSPICE, personale: 27)
OdC Larino;Riabilitazione Post COVID Larino;12;0;0;0;Bassa;OdC (CDC: DS TE.*RIABILITAZIONE.*POST COVID, personale: 13)
OdC Larino;Riabilitazione ex Art.26 Larino;20;0;0;0;Bassa;OdC (CDC: DS TE.*RIABILITAZIONE.*EX ART, personale: 23)
